Model,TBS2104B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,8e-09
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-8.000e-06,0
-7.992e-06,-0.004
-7.984e-06,0
-7.976e-06,0
-7.968e-06,0
-7.960e-06,0
-7.952e-06,0
-7.944e-06,-0.004
-7.936e-06,0
-7.928e-06,0
-7.920e-06,0
-7.912e-06,-0.004
-7.904e-06,0
-7.896e-06,0
-7.888e-06,0
-7.880e-06,0
-7.872e-06,0
-7.864e-06,-0.004
-7.856e-06,0
-7.848e-06,0
-7.840e-06,0
-7.832e-06,0
-7.824e-06,0
-7.816e-06,0
-7.808e-06,0
-7.800e-06,-0.004
-7.792e-06,0
-7.784e-06,0.004
-7.776e-06,0
-7.768e-06,0.004
-7.760e-06,0
-7.752e-06,0
-7.744e-06,-0.004
-7.736e-06,-0.004
-7.728e-06,0
-7.720e-06,0
-7.712e-06,0
-7.704e-06,0
-7.696e-06,0.004
-7.688e-06,0.004
-7.680e-06,0
-7.672e-06,0
-7.664e-06,-0.004
-7.656e-06,0
-7.648e-06,0
-7.640e-06,0
-7.632e-06,0.004
-7.624e-06,0
-7.616e-06,0
-7.608e-06,0
-7.600e-06,0.004
-7.592e-06,0.004
-7.584e-06,0
-7.576e-06,0
-7.568e-06,0.004
-7.560e-06,0
-7.552e-06,0
-7.544e-06,0
-7.536e-06,0
-7.528e-06,0
-7.520e-06,-0.04
-7.512e-06,-0.1
-7.504e-06,-0.14
-7.496e-06,-0.148
-7.488e-06,-0.148
-7.480e-06,-0.14
-7.472e-06,-0.124
-7.464e-06,-0.116
-7.456e-06,-0.108
-7.448e-06,-0.096
-7.440e-06,-0.096
-7.432e-06,-0.096
-7.424e-06,-0.088
-7.416e-06,-0.084
-7.408e-06,-0.08
-7.400e-06,-0.072
-7.392e-06,-0.068
-7.384e-06,-0.068
-7.376e-06,-0.064
-7.368e-06,-0.06
-7.360e-06,-0.06
-7.352e-06,-0.06
